Display,Lable
"6.5"" 1080x2400 pixels",Positive
"6.81"" 1080x2400 pixels",Positive
"6.39"" 720x1560 pixels",Positive
"6.55"" 720x1600 pixels",Positive
"6.5"" 720x1600 pixels",Positive
"6.3"" 1080x2280 pixels",Positive
"6.7"" 1440x2880 pixels",Positive
"5.99"" 720x1440 pixels",Neutral
"6.2"" 720x1520 pixels",Positive
"5.5"" 1080x1920 pixels",Neutral
"2.4"" 240x320 pixels",Negative
"5.99"" 1440x2880 pixels",Neutral
"5.8"" 1080x2280 pixels",Neutral
"5.71"" 720x1520 pixels",Neutral
"6.52"" 720x1600 pixels",Positive
"2.8"" 240x320 pixels",Negative
"6.0"" 1080x2160 pixels",Neutral
"5.45"" 480x960 pixels",Negative
"6.26"" 720x1520 pixels",Positive
"5.84"" 1080x2280 pixels",Neutral
"5.7"" 720x1440 pixels",Neutral
"6.18"" 1080x2280 pixels",Positive
"5.86"" 720x1520 pixels",Neutral
"5.3"" 1440x2560 pixels",Negative
"5.0"" 720x1280 pixels",Negative
"5.2"" 720x1280 pixels",Negative
"1.77"" 120x160 pixels",Negative
"5.2"" 720x1440 pixels",Negative
"6.39"" 1080x2316 pixels",Positive
"4.5"" 768x1280 pixels",Negative
"5.45"" 720x1440 pixels",Negative
"3.5"" 360x640 pixels",Negative
"5.5"" 1440x2560 pixels",Neutral
"5.5"" 720x1280 pixels",Neutral
"2.1"" 240x320 pixels",Negative
"5.5"" 1080x2160 pixels",Neutral
"4.5"" 480x854 pixels",Negative
"6.0"" 720x1440 pixels",Neutral
"4.0"" 480x800 pixels",Negative
"1.45"" 128x128 pixels",Negative
"1.8"" 120x160 pixels",Negative
"5.0"" 1080x1920 pixels",Negative
"6.0"" 1080x1920 pixels",Neutral
  5 lines,Negative
"4.0"" 360x640 pixels",Negative
"2.36"" 320x240 pixels",Negative
"6.4"" 1080x2400 pixels",Positive
"6.6"" 1080x2400 pixels",Positive
"6.5"" 720x1560 pixels",Positive
"6.55"" 1080x2400 pixels",Positive
"6.3"" 1080x2340 pixels",Positive
"6.44"" 1080x2400 pixels",Positive
"6.4"" 1080x2340 pixels",Positive
"6.57"" 1080x2400 pixels",Positive
"6.1"" 720x1560 pixels",Positive
"6.22"" 720x1520 pixels",Positive
"6.53"" 1080x2340 pixels",Positive
"1.4"" 320x320 pixels",Negative
"6.7"" 1080x2400 pixels",Positive
"6.9"" 1440x3088 pixels",Positive
"6.2"" 1440x3200 pixels",Positive
"6.4"" 720x1560 pixels",Positive
"5.8"" 1440x2960 pixels",Neutral
"6.9"" 1440x3200 pixels",Positive
"6.1"" 1440x3040 pixels",Positive
"6.8"" 1440x3040 pixels",Positive
"6.4"" 1440x3040 pixels",Positive
"6.7"" 1440x3200 pixels",Positive
"7.6"" 1768x2208 pixels",Positive
"5.7"" 720x1520 pixels",Positive
"5.1"" 1440x2560 pixels",Positive
"6.4"" 1440x2960 pixels",Positive
"10.4"" 1200x2000 pixels",Positive
"6.2"" 1440x2960 pixels",Positive
"12.4"" 1752x2800 pixels",Positive
"6.3"" 1440x2960 pixels",Positive
"10.1"" 1200x1920 pixels",Positive
"6.43"" 1080x2400 pixels",Positive
"6.7"" 1440x3168 pixels",Positive
"6.5"" 1080x2340 pixels",Positive
"1.91"" 402x476 pixels",Negative
"6.23"" 1080x2280 pixels",Positive
"6.42"" 1080x2340 pixels",Positive
"5.0"" 540x960 pixels",Negative
"6.6"" 1080x2340 pixels",Positive
