Mobile_Name,Operating_System,Lable,Storage,Lable,Display,Lable,Camera,Lable
Nokia 7.3,"Android 10, Android One",,"64GB/128GB storage, microSDXC",,"6.5"" 1080x2400 pixels",,48MP 2160p,
Nokia 8.3 5G,"Android 10, planned upgrade to Android 11",,"32GB/64GB storage, microSDXC",,"6.81"" 1080x2400 pixels",,64MP 2160p,
Nokia 3.4,"Android 9.0, up to Android 10, Android One",,"64GB storage, microSDXC",,"6.39"" 720x1560 pixels",,13MP 1080p,
Nokia 5.3,Android 10,,"128GB/256GB storage, no card slot",,"6.55"" 720x1600 pixels",,13MP 2160p,
Nokia 2.4,"Android 7.1.1, up to Android 9.0",,"16GB/32GB storage, microSDXC",,"6.5"" 720x1600 pixels",,8MP 1080p,
Nokia 7.2,Feature phone,,"32GB storage, microSDXC",,"6.3"" 1080x2280 pixels",,108MP 4320p,
Nokia 9.3 PureView,"Android 8.1, up to Android 10, Android One",,"16MB 8MB RAM storage, microSDHC slot",,"6.7"" 1440x2880 pixels",,16MP 1080p,
Nokia C3,KaiOS,,"32GB/64GB/128GB storage, microSDXC",,"5.99"" 720x1440 pixels",,0.2MP,
Nokia 2.3,Android 9.0 Pie,,"128GB storage, no card slot",,"6.2"" 720x1520 pixels",,16MP 2160p,
Nokia 6,"Android 7.0, up to Android 9.0",,"4MB storage, microSD slot",,"5.5"" 1080x1920 pixels",,12MP 2160p,
Nokia 5310 (2020),"Android 8.0, up to Android 9.0, Android One",,"4GB 512MB storage, microSDHC slot",,"2.4"" 240x320 pixels",,0.3MP,
Nokia 6.2,"Android 9.0, Android One",,"16GB storage, microSDXC",,"5.99"" 1440x2880 pixels",,2MP,
Nokia 9 PureView,"Microsoft Windows Phone 8, up to 8.1",,"24MB 16MB RAM storage, microSDHC slot",,"5.8"" 1080x2280 pixels",,5MP 720p,
Nokia 6.1 Plus (Nokia X6),"Symbian^3, up to Nokia Belle Refresh",,"4MB 4MB RAM storage, no card slot",,"5.71"" 720x1520 pixels",,8MP 720p,
Nokia 4.2,"Android 8.0, up to Android 10, Android One",,"16MB RAM storage, microSDHC slot",,"6.52"" 720x1600 pixels",,2MP 240p,
Nokia C5 Endi,"Android 8.1 Oreo, up to 10.0, Android One",,"4MB storage, no card slot",,"2.8"" 240x320 pixels",,NO,
Nokia 2.2,"Android 9.0 Pie, up to Android 10",,"32GB/64GB storage, no card slot",,"6.0"" 1080x2160 pixels",,0.3MP 240p,
Nokia 150 (2020),Android 8.1 Oreo,,"16GB storage, microSDHC",,"5.45"" 480x960 pixels",,41MP 1080p,
Nokia 2720 Flip,"Android 7.1.1, up to Android 8.1",,"4GB 512MB RAM storage, microSDHC slot",,"6.26"" 720x1520 pixels",,12MP 720p,
Nokia 7 plus,"Symbian OS 9.1, S60 3rd edition",,"8GB storage, microSDXC",,"5.84"" 1080x2280 pixels",,2MP Video recorder,
Nokia C1,"Microsoft Windows Phone 8.1, up to Windows 10",,"8GB/16GB storage, microSDXC",,"5.7"" 720x1440 pixels",,2MP 144p,
Nokia 3.2,"Microsoft Windows Phone 8, up to Windows 10",,"30MB storage, microSDHC slot",,"6.18"" 1080x2280 pixels",,5MP 480p,
Nokia 7.1,"Symbian^3, up to Nokia Belle OS",,"16MB storage, microSDHC slot",,"5.86"" 720x1520 pixels",,0.1MP,
Nokia C2,"Symbian OS 9.2, Series 60 v3.1 UI",,"4MB storage, microSDHC slot",,"5.3"" 1440x2560 pixels",,3MP 144p,
Nokia 6.1,"Android 10, Realme UI",,"512MB 256MB RAM storage, microSDXC slot",,"5.0"" 720x1280 pixels",,NO No video recorder,
Nokia 8.1 (Nokia X7),"Android 10, realme UI 1.0",,"42MB 64MB RAM storage, miniSD slot",,"5.2"" 720x1280 pixels",,20MP 2160p,
Nokia 5.1 Plus (Nokia X5),"Android 9.0, up to Android 10, Realme UI",,"8MB 384 kB storage, no card slot",,"1.77"" 120x160 pixels",,0.3MP No video recorder,
Nokia 8,"Android 9.0, ColorOS 6 Lite",,"32GB storage, no card slot",,"5.2"" 720x1440 pixels",,64MP 1080p,
Nokia 1.3,"Android 9.0, planned upgrade to 10, ColorOS 6",,microSDHC slot,,"6.39"" 1080x2316 pixels",,48MP 1080p,
Nokia 3,"Android 10, ColorOS 7",,No card slot,,"4.5"" 768x1280 pixels",,12MP 1080p,
Nokia 5,"Android 8.1, up to Android 10, Realme UI 1.0",,"16GB storage, no card slot",,"5.45"" 720x1440 pixels",,64MP 4320p,
Nokia 800 Tough,"Android 8.1, ColorOS 5.2",,"120MB storage, microSDHC slot",,"3.5"" 360x640 pixels",,25MP 1080p,
Nokia 220 4G,"Android 8.1, up to Android 9.0, ColorOS 6",,"128GB storage, microSDXC",,"5.5"" 1440x2560 pixels",,32MP 2160p,
Nokia 105 (2019),"Android 10, One UI 2.5",,"64GB/128GB/256GB storage, no card slot",,"5.5"" 720x1280 pixels",,,
Nokia 230,"Android 10, One UI 2.1",,"64GB/128GB/256GB storage, microSDXC",,"2.1"" 240x320 pixels",,,
Nokia 3.1,"Android 10, One UI 2.0",,"64GB/128GB storage, Unspecified",,"5.5"" 1080x2160 pixels",,,
Nokia 125,"Android 7.0, up to Android 9.0, One UI",,"128GB/256GB storage, microSDXC",,"4.5"" 480x854 pixels",,,
Nokia X71,"Android 9.0, up to Android 10, One UI 2.1",,"128GB/256GB/512GB storage, microSDXC",,"6.0"" 720x1440 pixels",,,
Nokia 216,"Android 9.0, up to Android 10, One UI 2.5",,"128GB/512GB storage, microSDXC",,"4.0"" 480x800 pixels",,,
Nokia Lumia 1020,"Android 10, One UI 2",,"256GB/512GB storage, microSDXC",,"1.45"" 128x128 pixels",,,
Nokia C2 Tennen,"Android 9.0, up to Android 10, One UI 2",,"128GB/512GB/1TB storage, microSDXC",,"1.8"" 120x160 pixels",,,
Nokia N8,"Android 9.0, up to Android 10, One UI 2.0",,"256GB/512GB storage, no card slot",,"5.0"" 1080x1920 pixels",,,
Nokia 8110 4G,"Android 6.0.1, up to Android 9.0, One UI",,"256GB storage, no card slot",,"6.0"" 1080x1920 pixels",,,
