Mobile_Name,Operating_System,Storage,Display,Camera
Samsung Galaxy A72,"Android 10, One UI 2.5","128GB storage, microSDXC","6.7"" 1080x2400 pixels",64MP 2160p
Samsung Galaxy S20 FE 5G,"Android 10, One UI 2.5","128GB/256GB storage, microSDXC","6.5"" 1080x2400 pixels",12MP 2160p
Samsung Galaxy M51,"Android 10, One UI 2.1","128GB storage, microSDXC","6.7"" 1080x2400 pixels",64MP 2160p
Samsung Galaxy A51,"Android 10, One UI 2.1","64GB/128GB storage, microSDXC","6.5"" 1080x2400 pixels",48MP 2160p
Samsung Galaxy S20 FE,"Android 10, One UI 2.5","128GB/256GB storage, microSDXC","6.5"" 1080x2400 pixels",12MP 2160p
Samsung Galaxy A71,"Android 10, One UI 2.1","128GB storage, microSDXC","6.7"" 1080x2400 pixels",64MP 2160p
Samsung Galaxy A21s,"Android 10, One UI 2.0","32GB/64GB storage, microSDXC","6.5"" 720x1600 pixels",48MP 1080p
Samsung Galaxy Note20 Ultra 5G,"Android 10, One UI 2.5","128GB/256GB/512GB storage, microSDXC","6.9"" 1440x3088 pixels",108MP 4320p
Samsung Galaxy M31,"Android 10, One UI 2.1","64GB/128GB storage, microSDXC","6.4"" 1080x2340 pixels",64MP 2160p
Samsung Galaxy A31,"Android 10, One UI 2.0","64GB/128GB storage, microSDXC","6.4"" 1080x2400 pixels",48MP 1080p
Samsung Galaxy S20,"Android 10, One UI 2.5","128GB storage, microSDXC","6.2"" 1440x3200 pixels",64MP 4320p
Samsung Galaxy A42 5G,"Android 10, One UI 2.5","128GB storage, microSDXC","6.6"" 1080x2400 pixels",48MP 2160p
Samsung Galaxy A11,Android 10,"32GB/64GB storage, microSDXC","6.4"" 720x1560 pixels",13MP 1080p
Samsung Galaxy S8,"Android 7.0, up to Android 9.0, One UI","64GB storage, microSDXC","5.8"" 1440x2960 pixels",12MP 2160p
Samsung Galaxy M31s,"Android 10, One UI 2.0","128GB storage, microSDXC","6.5"" 1080x2400 pixels",64MP 2160p
Samsung Galaxy S20 Ultra 5G,"Android 10, One UI 2.5","128GB/256GB/512GB storage, microSDXC","6.9"" 1440x3200 pixels",108MP 4320p
Samsung Galaxy S10,"Android 9.0, up to Android 10, One UI 2.1","128GB/512GB storage, microSDXC","6.1"" 1440x3040 pixels",16MP 2160p
Samsung Galaxy Note10+,"Android 9.0, up to Android 10, One UI 2.5","256GB/512GB storage, microSDXC","6.8"" 1440x3040 pixels",12MP 2160p
Samsung Galaxy M21,"Android 10, One UI 2","64GB/128GB storage, microSDXC","6.4"" 1080x2340 pixels",48MP 2160p
Samsung Galaxy S10+,"Android 9.0, up to Android 10, One UI 2","128GB/512GB/1TB storage, microSDXC","6.4"" 1440x3040 pixels",16MP 2160p
Samsung Galaxy S20+,"Android 10, One UI 2.5","128GB storage, microSDXC","6.7"" 1440x3200 pixels",64MP 4320p
Samsung Galaxy Note10 Lite,"Android 9.0, up to Android 10, One UI 2.5","128GB storage, microSDXC","6.7"" 1080x2400 pixels",12MP 2160p
Samsung Galaxy A50,"Android 9.0, up to Android 10, One UI 2.0","64GB/128GB storage, microSDXC","6.4"" 1080x2340 pixels",25MP 1080p
Samsung Galaxy Z Fold2 5G,"Android 10, One UI 2.5","256GB/512GB storage, no card slot","7.6"" 1768x2208 pixels",12MP 2160p
Samsung Galaxy M11,"Android 10, One UI 2.0","32GB/64GB storage, microSDXC","6.4"" 720x1560 pixels",13MP 1080p
Samsung Galaxy A01,"Android 10, One UI 2","16GB/32GB storage, microSDXC","5.7"" 720x1520 pixels",13MP 1080p
Samsung Galaxy J7 Prime,"Android 6.0.1, up to Android 9.0, One UI","16GB/32GB storage, microSDXC","5.5"" 1080x1920 pixels",13MP 1080p
Samsung Galaxy S10 Lite,"Android 10, One UI 2.5","128GB/512GB storage, microSDXC","6.7"" 1080x2400 pixels",48MP 2160p
Samsung Galaxy Note20 Ultra,"Android 10, One UI 2.5","256GB/512GB storage, microSDXC","6.9"" 1440x3088 pixels",108MP 4320p
Samsung Galaxy S7,"Android 6.0, up to Android 8.0, TouchWiz UI","32GB/64GB storage, microSDXC","5.1"" 1440x2560 pixels",12MP 2160p
Samsung Galaxy Note20,"Android 10, One UI 2.5","256GB storage, no card slot","6.7"" 1080x2400 pixels",64MP 4320p
Samsung Galaxy S7 edge,"Android 6.0, up to Android 8.0, TouchWiz UI","32GB/64GB/128GB storage, microSDXC","5.5"" 1440x2560 pixels",12MP 2160p
Samsung Galaxy A10s,"Android 9.0, up to Android 10, One UI 2.0","32GB storage, microSDXC","6.2"" 720x1520 pixels",13MP 1080p
Samsung Galaxy A20s,"Android 9.0, up to Android 10, One UI 2.0","32GB/64GB storage, microSDXC","6.5"" 720x1560 pixels",13MP 1080p
Samsung Galaxy A20,"Android 9.0, One UI","32GB storage, microSDXC","6.4"" 720x1560 pixels",13MP 1080p
Samsung Galaxy J5,"Android 5.1, up to 6.0.1","8GB/16GB storage, microSDXC","5.0"" 720x1280 pixels",13MP 1080p
Samsung Galaxy Note9,"Android 8.1, up to Android 10, One UI 2.0","128GB/512GB storage, microSDXC","6.4"" 1440x2960 pixels",12MP 2160p
Samsung Galaxy A70,"Android 9.0, up to Android 10, One UI 2.0","128GB storage, microSDXC","6.7"" 1080x2400 pixels",32MP 2160p
Samsung Galaxy S9,"Android 8.0, up to Android 10, One UI 2.1","64GB/128GB/256GB storage, microSDXC","5.8"" 1440x2960 pixels",12MP 2160p
Samsung Galaxy Tab A7 10.4 (2020),"Android 10, One UI 2.1","32GB/64GB storage, microSDXC","10.4"" 1200x2000 pixels",8MP 1080p
Samsung Galaxy J7,"Android 5.1, up to 7.1.1","16GB storage, microSDXC","5.5"" 720x1280 pixels",13MP 1080p
Samsung Galaxy S10e,"Android 9.0, up to Android 10, One UI 2","128GB/256GB storage, microSDXC","5.8"" 1080x2280 pixels",16MP 2160p
Samsung Galaxy A30s,"Android 9.0, up to Android 10, One UI 2.0","32GB/64GB/128GB storage, microSDXC","6.4"" 720x1560 pixels",25MP 1080p
Samsung Galaxy S9+,"Android 8.0, up to Android 10, One UI 2.1","64GB/128GB/256GB storage, microSDXC","6.2"" 1440x2960 pixels",12MP 2160p
Samsung Galaxy A21,"Android 10, One UI 2.0","32GB storage, microSDXC","6.5"" 720x1600 pixels",16MP 1080p
Samsung Galaxy Tab S7+,"Android 10, One UI 2.5","128GB/256GB/512GB storage, microSDXC","12.4"" 1752x2800 pixels",13MP 2160p
Samsung Galaxy A51 5G UW,"Android 10, One UI 2","128GB storage, microSDXC","6.5"" 1080x2400 pixels",48MP 2160p
Samsung Galaxy Note8,"Android 7.1.1, up to Android 9.0","64GB/128GB/256GB storage, microSDXC","6.3"" 1440x2960 pixels",12MP 2160p
Samsung Galaxy Tab A 10.1 (2019),"Android 9.0, up to Android 10, One UI 2.0","32GB/64GB/128GB storage, microSDXC","10.1"" 1200x1920 pixels",8MP 1080p
Samsung Galaxy Note10,"Android 9.0, up to Android 10, One UI 2.5","256GB storage, no card slot","6.3"" 1080x2280 pixels",12MP 2160p
